Orbital Location,Satellite,Transponder,L-band Freq,C-band Freq,Standard,Modulation,Coding,Symbol Rate,Threshold Es/No,Polarization
-101,SES-1,7,1310,3840,DVB-S2,8PSK,R5/6,30,9.4,V
-101,SES-1,9,1270,3880,DVB-S2,8PSK,R5/6,30,9.4,V
-101,SES-1,11,1230,3920,DVB-S2,8PSK,R5/6,30,9.4,V
-101,SES-1,15,1145.25,4004.75,DVB-S,QPSK,R3/4,4.44,6.9,V
-101,SES-1,17A,1120,4030,DVB-S,QPSK,R7/8,12.4,8.5,V
-101,SES-1,17B,1102,4048,DVB-S2,8PSK,R5/6,15.8,9.4,V
-101,SES-1,19,1070,4080,DVB-S2,8PSK,R5/6,30,9.4,V
-101,SES-1,8,1290,3860,DVB-S2,8PSK,R5/6,30,9.4,H
-101,SES-1,10,1250,3900,DVB-S2,8PSK,R5/6,30,9.4,H
-101,SES-1,14,1170,3980,DVB-S2,8PSK,R5/6,30,9.4,H
-101,SES-1,20,1050,4100,DVB-S2,8PSK,R5/6,30,9.4,H
-101,SES-1,22,1010,4140,DVB-S,QPSK,R3/4,29.268,6.9,H
